# PPM1D History File
# gamma = 1.4000000000000001
# nx = 200
# cfl = 0.9
# problem = acoustic
#
# 16 columns:
#   1  model_number          Model/dump number
#   2  step                  Timestep count
#   3  time                  Simulation time
#   4  dt                    Current timestep
#   5  total_mass            Total mass in domain
#   6  total_energy          Total energy in domain
#   7  total_kinetic         Total kinetic energy
#   8  total_internal        Total internal energy
#   9  total_momentum        Total momentum
#  10  max_density           Maximum density
#  11  min_density           Minimum density
#  12  max_velocity          Maximum |velocity|
#  13  max_pressure          Maximum pressure
#  14  min_pressure          Minimum pressure
#  15  max_mach              Maximum Mach number
#  16  max_sound_speed       Maximum sound speed
#
          model_number                    step                    time                      dt              total_mass            total_energy           total_kinetic          total_internal          total_momentum             max_density             min_density            max_velocity            max_pressure            min_pressure                max_mach         max_sound_speed
           0             0   0.000000000000000e+00   0.000000000000000e+00   1.001253314137315e+00   2.504386599480603e+00   0.000000000000000e+00   2.504386599480603e+00   0.000000000000000e+00   1.009987507809246e+00   1.000000000000000e+00   0.000000000000000e+00   1.013982510932944e+00   1.000000000000000e+00   0.000000000000000e+00   1.185553751031680e+00
           1             3   1.138114584279538e-02   3.791767178845482e-03   1.001253314137315e+00   2.504386599480604e+00   2.158482934228369e-07   2.504386383632310e+00   0.000000000000000e+00   1.009632676149083e+00   1.000000000000000e+00   1.873457166903685e-03   1.013483866143037e+00   1.000000000000000e+00   1.581543350638850e-03   1.185470465819526e+00
           2             5   1.895944052868507e-02   3.788322873273241e-03   1.001253314137315e+00   2.504386599480604e+00   5.624503258185392e-07   2.504386037030278e+00  -3.469446951953614e-20   1.009033961525453e+00   9.999999999999999e-01   2.995332605636731e-03   1.012642711385259e+00   1.000000000000000e+00   2.528603962983890e-03   1.185329918886860e+00
           3             8   3.031628259239439e-02   3.784452732950777e-03   1.001253314137315e+00   2.504386599480604e+00   1.240985955007816e-06   2.504385358494649e+00  -6.938893903907229e-20   1.007729519789567e+00   9.999999999999998e-01   4.329861524315850e-03   1.010810857908041e+00   1.000000000000000e+00   3.655204482938369e-03   1.185023537721445e+00
           4            10   3.788268615807176e-02   3.782835113395887e-03   1.001253314137315e+00   2.504386599480604e+00   1.703751509901105e-06   2.504384895729094e+00   0.000000000000000e+00   1.006696076815228e+00   9.999999999999999e-01   4.970886921911157e-03   1.009360292638715e+00   1.000000000000000e+00   4.196615946747864e-03   1.184780609466764e+00
           5            13   4.922863451649388e-02   3.781672774554791e-03   1.001253314137315e+00   2.504386599480604e+00   2.291215491534433e-06   2.504384308265113e+00   6.938893903907229e-20   1.005410351532584e+00   9.999999999999999e-01   5.541073159934910e-03   1.007570744998378e+00   1.000000000000000e+00   4.678182134001215e-03   1.184486502678149e+00
           6            15   5.679123588280960e-02   3.781176388133297e-03   1.001253314137316e+00   2.504386599480604e+00   2.579043893687736e-06   2.504384020436711e+00   0.000000000000000e+00   1.005136496587310e+00   9.999999999999999e-01   5.732600806403802e-03   1.007191475234305e+00   1.000000000000000e+00   4.840053028897794e-03   1.184424868058582e+00
           7            18   6.813391318353798e-02   3.780783812910953e-03   1.001253314137315e+00   2.504386599480604e+00   2.857822359679795e-06   2.504383741658245e+00   1.387778780781446e-19   1.005006164086721e+00   9.999999999999999e-01   5.850672245020972e-03   1.007012555913100e+00   1.000000000000000e+00   4.939791452322330e-03   1.184396608943969e+00
           8            20   7.569533872767652e-02   3.780698571584760e-03   1.001253314137315e+00   2.504386599480605e+00   2.963150745589006e-06   2.504383636329860e+00   1.387778780781446e-19   1.004986685773134e+00   9.999999999999999e-01   5.867502495931682e-03   1.006986260865059e+00   1.000000000000000e+00   4.954020819526309e-03   1.184392466474883e+00
           9            23   8.703735209543567e-02   3.780655242443252e-03   1.001253314137315e+00   2.504386599480605e+00   3.044397183997943e-06   2.504383555083422e+00  -2.775557561562891e-19   1.004982773939113e+00   1.000000000000001e+00   5.880764054050796e-03   1.006982048750553e+00   1.000000000000001e+00   4.965216408074749e-03   1.184392294460142e+00
          10            25   9.459863639461268e-02   3.780639204498218e-03   1.001253314137316e+00   2.504386599480605e+00   3.068609789625346e-06   2.504383530870816e+00  -2.775557561562891e-19   1.004982797015127e+00   1.000000000000002e+00   5.883196855675708e-03   1.006982490797695e+00   1.000000000000003e+00   4.967269425365822e-03   1.184392540825874e+00
          11            28   1.059405490345997e-01   3.780639337882814e-03   1.001253314137315e+00   2.504386599480605e+00   3.083793590592321e-06   2.504383515687015e+00  -1.387778780781446e-19   1.004980477037634e+00   1.000000000000008e+00   5.881153531612126e-03   1.006979501624790e+00   1.000000000000011e+00   4.965545855440650e-03   1.184392149992586e+00
          12            30   1.135018449401461e-01   3.780651589088749e-03   1.001253314137315e+00   2.504386599480606e+00   3.087423569165882e-06   2.504383512057037e+00   1.387778780781446e-19   1.004976825062492e+00   1.000000000000027e+00   5.876906977203393e-03   1.006974416852238e+00   1.000000000000039e+00   4.961963938286138e-03   1.184391311645299e+00
          13            32   1.210631553925771e-01   3.780649984819916e-03   1.001253314137315e+00   2.504386599480606e+00   3.088959351207393e-06   2.504383510521255e+00   0.000000000000000e+00   1.004980949487804e+00   1.000000000000096e+00   5.881808723046167e-03   1.006980243328097e+00   1.000000000000135e+00   4.966098381746931e-03   1.184392307785315e+00
          14            35   1.324050647609751e-01   3.780631921129022e-03   1.001253314137315e+00   2.504386599480606e+00   3.089753079421997e-06   2.504383509727527e+00   0.000000000000000e+00   1.004983461625691e+00   1.000000000000618e+00   5.884786503797930e-03   1.006983786713518e+00   1.000000000000866e+00   4.968610034383303e-03   1.184392911312136e+00
          15            37   1.399663261476364e-01   3.780631027664233e-03   1.001253314137315e+00   2.504386599480607e+00   3.089938553532019e-06   2.504383509542053e+00  -1.387778780781446e-19   1.004982663779878e+00   1.000000000002072e+00   5.883848968692763e-03   1.006982670759530e+00   1.000000000002901e+00   4.967819240741281e-03   1.184392725169846e+00
