# PPM1D Profile
# model_number = 44
# num_zones = 200
# time = 4.122094392772002e-01
# step = 109
# gamma = 1.4000000000000001
# nx = 200
# dx = 5.000000000000000e-03
#
# 13 columns:
#   1  zone                       [1           ]  Zone index
#   2  x                          [cm          ]  Cell center position
#   3  density                    [g/cm^3      ]  Mass density
#   4  velocity                   [cm/s        ]  Velocity
#   5  pressure                   [dyn/cm^2    ]  Pressure
#   6  total_energy               [erg/cm^3    ]  Total energy density E=e+KE
#   7  kinetic_energy             [erg/cm^3    ]  Kinetic energy density 0.5*rho*u^2
#   8  internal_energy            [erg/cm^3    ]  Internal energy density p/(gamma-1)
#   9  sound_speed                [cm/s        ]  Local sound speed sqrt(gamma*p/rho)
#  10  mach_number                [1           ]  Local Mach number |u|/c
#  11  entropy                    [cgs         ]  Entropy proxy p/rho^gamma
#  12  temperature                [K           ]  Temperature (ideal gas) p/rho
#  13  specific_internal_energy   [erg/g       ]  Specific internal energy p/((gamma-1)*rho)
#
                  zone                       x                 density                velocity                pressure            total_energy          kinetic_energy         internal_energy             sound_speed             mach_number                 entropy             temperature  specific_internal_energy
                     0      2.500000000000e-03      1.009799961695e+00     -1.082906440726e-04      1.013749561648e+00      2.534373910041e+00      5.920893203844e-09      2.534373904120e+00      1.185527636761e+00      9.134383772656e-05      1.000002739131e+00      1.003911269660e+00      2.509778174149e+00
                     1      7.500000000000e-03      1.009702114725e+00     -3.318759957180e-04      1.013611813063e+00      2.534029588263e+00      5.560514185778e-08      2.534029532658e+00      1.185504526637e+00      2.799449418042e-04      1.000002512512e+00      1.003872130484e+00      2.509680326210e+00
                     2      1.250000000000e-02      1.009509958255e+00     -5.479843489375e-04      1.013341388672e+00      2.533353623250e+00      1.515712810285e-07      2.533353471679e+00      1.185459181790e+00      4.622549281792e-04      1.000002143498e+00      1.003795336921e+00      2.509488342302e+00
                     3      1.750000000000e-02      1.009229471263e+00     -7.519298149348e-04      1.012946758654e+00      2.532367181942e+00      2.853083876515e-07      2.532366896634e+00      1.185393019031e+00      6.343295454445e-04      1.000001669855e+00      1.003683292547e+00      2.509208231369e+00
                     4      2.250000000000e-02      1.008869394713e+00     -9.390904270617e-04      1.012440292123e+00      2.531101175165e+00      4.448563340329e-07      2.531100730309e+00      1.185308105858e+00      7.922753775335e-04      1.000001137781e+00      1.003539504151e+00      2.508848760378e+00
                     5      2.750000000000e-02      1.008440751976e+00     -1.105039474297e-03      1.011837571371e+00      2.529594544137e+00      6.157096726529e-07      2.529593928427e+00      1.185207046358e+00      9.323598587204e-04      1.000000596149e+00      1.003368387670e+00      2.508420969175e+00
                     6      3.250000000000e-02      1.007955884342e+00     -1.246140892469e-03      1.011156021472e+00      2.527890836291e+00      7.826107775598e-07      2.527890053681e+00      1.185092751405e+00      1.051513386603e-03      1.000000087620e+00      1.003174878167e+00      2.507937195417e+00
                     7      3.750000000000e-02      1.007427952830e+00     -1.359541959338e-03      1.010414205326e+00      2.526036444358e+00      9.310419140226e-07      2.526035513316e+00      1.184968323638e+00      1.147323461917e-03      9.999996490463e-01      1.002964234303e+00      2.507410585758e+00
                     8      4.250000000000e-02      1.006870291513e+00     -1.443368079689e-03      1.009630900276e+00      2.524078299502e+00      1.048812185094e-06      2.524077250690e+00      1.184836900500e+00      1.218199803770e-03      9.999993007488e-01      1.002741771990e+00      2.506854429974e+00
                     9      4.750000000000e-02      1.006295931008e+00     -1.496710603747e-03      1.008824434289e+00      2.522062212847e+00      1.127123207411e-06      2.522061085724e+00      1.184701547665e+00      1.263365112249e-03      9.999990543160e-01      1.002512683599e+00      2.506281708998e+00
                    10      5.250000000000e-02      1.005717049326e+00     -1.519786864451e-03      1.008011910106e+00      2.520030936743e+00      1.161478540060e-06      2.520029775264e+00      1.184565127690e+00      1.282991393994e-03      9.999989085332e-01      1.002281815528e+00      2.505704538820e+00
                    11      5.750000000000e-02      1.005144475472e+00     -1.514080119648e-03      1.007208513270e+00      2.518022435291e+00      1.152116001453e-06      2.518021283175e+00      1.184430185048e+00      1.278319430525e-03      9.999988531112e-01      1.002053473753e+00      2.505133684382e+00
                    12      6.250000000000e-02      1.004587722097e+00     -1.481908426055e-03      1.006427563669e+00      2.516070012237e+00      1.103063731086e-06      2.516068909173e+00      1.184298955168e+00      1.251295899222e-03      9.999988721676e-01      1.001831439438e+00      2.504578598594e+00
                    13      6.750000000000e-02      1.004054789184e+00     -1.426309371508e-03      1.005680245089e+00      2.514201634026e+00      1.021303658892e-06      2.514200612723e+00      1.184173318521e+00      1.204476869391e-03      9.999989463758e-01      1.001618891640e+00      2.504047229101e+00
                    14      7.250000000000e-02      1.003551740076e+00     -1.351279953766e-03      1.004975018256e+00      2.512438461862e+00      9.162214199642e-07      2.512437545641e+00      1.184054702005e+00      1.141231018701e-03      9.999990571864e-01      1.001418240957e+00      2.503545602392e+00
                    15      7.750000000000e-02      1.003083353033e+00     -1.260833090144e-03      1.004318538182e+00      2.510797142755e+00      7.973008438847e-07      2.510796345454e+00      1.183944231660e+00      1.064942973181e-03      9.999991871073e-01      1.001231388343e+00      2.503078470858e+00
                    16      8.250000000000e-02      1.002652703109e+00     -1.159364938439e-03      1.003715073133e+00      2.509288356679e+00      6.738463152563e-07      2.509287682832e+00      1.183842634415e+00      9.793235221769e-04      9.999993220305e-01      1.001059559328e+00      2.502648898319e+00
                    17      8.750000000000e-02      1.002261457791e+00     -1.051223444461e-03      1.003166922687e+00      2.507917860503e+00      5.537849004986e-07      2.507917306718e+00      1.183750307533e+00      8.880449177260e-04      9.999994521882e-01      1.000903421846e+00      2.502258554614e+00
                    18      9.250000000000e-02      1.001910748212e+00     -9.396592423182e-04      1.002675637473e+00      2.506689536006e+00      4.423233024720e-07      2.506689093683e+00      1.183667522049e+00      7.938540382454e-04      9.999995692509e-01      1.000763430537e+00      2.501908576344e+00
                    19      9.750000000000e-02      1.001599460064e+00     -8.288996666303e-04      1.002239629930e+00      2.505599418912e+00      3.440868029077e-07      2.505599074825e+00      1.183594021024e+00      7.003243104531e-04      9.999996704911e-01      1.000639147575e+00      2.501597868937e+00
                    20      1.025000000000e-01      1.001326486854e+00     -7.216131591317e-04      1.001857328060e+00      2.504643580857e+00      2.607081435152e-07      2.504643320149e+00      1.183529548925e+00      6.097128371549e-04      9.999997543723e-01      1.000530137985e+00      2.501325344962e+00
                    21      1.075000000000e-01      1.001089930199e+00     -6.200096691261e-04      1.001526055762e+00      2.503815331820e+00      1.924154860232e-07      2.503815139405e+00      1.183473663006e+00      5.238897057933e-04      9.999998212034e-01      1.000435650734e+00      2.501089126835e+00
                    22      1.125000000000e-01      1.000887105259e+00     -5.260141567421e-04      1.001242040347e+00      2.503105239335e+00      1.384681735198e-07      2.503105100867e+00      1.183425734342e+00      4.444842979814e-04      9.999998728334e-01      1.000354620502e+00      2.500886551255e+00
                    23      1.175000000000e-01      1.000715184588e+00     -4.407103770223e-04      1.001001313001e+00      2.502503379684e+00      9.718227179851e-08      2.502503282502e+00      1.183385099405e+00      3.724150128677e-04      9.999999114694e-01      1.000285923924e+00      2.500714809810e+00
