# PPM1D History File
# gamma = 1.4000000000000001
# nx = 800
# cfl = 0.9
# problem = sod
#
# 16 columns:
#   1  model_number          Model/dump number
#   2  step                  Timestep count
#   3  time                  Simulation time
#   4  dt                    Current timestep
#   5  total_mass            Total mass in domain
#   6  total_energy          Total energy in domain
#   7  total_kinetic         Total kinetic energy
#   8  total_internal        Total internal energy
#   9  total_momentum        Total momentum
#  10  max_density           Maximum density
#  11  min_density           Minimum density
#  12  max_velocity          Maximum |velocity|
#  13  max_pressure          Maximum pressure
#  14  min_pressure          Minimum pressure
#  15  max_mach              Maximum Mach number
#  16  max_sound_speed       Maximum sound speed
#
          model_number                    step                    time                      dt              total_mass            total_energy           total_kinetic          total_internal          total_momentum             max_density             min_density            max_velocity            max_pressure            min_pressure                max_mach         max_sound_speed
           0             0   0.000000000000000e+00   0.000000000000000e+00   5.625000000000000e-01   1.375000000000000e+00   0.000000000000000e+00   1.375000000000000e+00   0.000000000000000e+00   1.000000000000000e+00   1.250000000000000e-01   0.000000000000000e+00   1.000000000000000e+00   1.000000000000000e-01   0.000000000000000e+00   1.183215956619923e+00
           1            18   9.653204803079860e-03   5.116165554835267e-04   5.625000000000000e-01   1.375000000000000e+00   3.382523514348300e-03   1.371617476485651e+00   8.687884322771873e-03   1.000000000000000e+00   1.249998918419912e-01   9.468072911157546e-01   1.000000000000000e+00   9.999987886338314e-02   9.403963262066923e-01   1.255944617189332e+00
           2            36   1.883039176874127e-02   5.096153943765097e-04   5.624999999999999e-01   1.375000000000000e+00   6.699863295686058e-03   1.368300136704314e+00   1.694735259186715e-02   1.000000000308709e+00   1.249999999993229e-01   9.426047558481614e-01   1.000000000432192e+00   9.999999999924167e-02   9.450114465980610e-01   1.265218877404774e+00
           3            55   2.851015433538225e-02   5.095909442938348e-04   5.625000000000000e-01   1.375000000000000e+00   1.020596194901862e-02   1.364794038050981e+00   2.565913890184402e-02   1.000000000652225e+00   1.249999999999998e-01   9.423622706694162e-01   1.000000000913117e+00   9.999999999999981e-02   9.472341519596316e-01   1.265225957066012e+00
           4            73   3.768735437103242e-02   5.101300468483104e-04   5.625000000000000e-01   1.375000000000000e+00   1.353440459599863e-02   1.361465595404001e+00   3.391861893392919e-02   1.000000000856744e+00   1.250000000000000e-01   9.400323113444846e-01   1.000000001199441e+00   1.000000000000000e-01   9.455134137752902e-01   1.265153716523032e+00
           5            92   4.738631083810035e-02   5.106688790110409e-04   5.625000000000000e-01   1.375000000000000e+00   1.705400801951415e-02   1.357945991980486e+00   4.264767975429031e-02   1.000000001412577e+00   1.250000000000000e-01   9.371363211578243e-01   1.000000001977609e+00   1.000000000000000e-01   9.428903544344983e-01   1.265821315887988e+00
           6           110   5.657601076581021e-02   5.105169247026775e-04   5.625000000000000e-01   1.375000000000000e+00   2.038991610258355e-02   1.354610083897416e+00   5.091840968922919e-02   1.000000001776278e+00   1.250000000000000e-01   9.375434278137555e-01   1.000000002486791e+00   1.000000000000000e-01   9.417295062238719e-01   1.266024034170096e+00
           7           129   6.627890848581121e-02   5.109227309891536e-04   5.625000000000000e-01   1.375000000000000e+00   2.391256432162622e-02   1.351087435678373e+00   5.965101763723009e-02   1.000000002068575e+00   1.250000000000000e-01   9.360989127930203e-01   1.000000002896006e+00   1.000000000000000e-01   9.412118885689205e-01   1.265796810024009e+00
           8           147   7.547662385178781e-02   5.112077999637322e-04   5.625000000000000e-01   1.375000000000000e+00   2.725312523557620e-02   1.347746874764423e+00   6.792896146660903e-02   1.000000002534148e+00   1.250000000000000e-01   9.357814408435122e-01   1.000000003547808e+00   1.000000000000000e-01   9.388751041836703e-01   1.265854488624535e+00
           9           165   8.467435094899255e-02   5.111113961398117e-04   5.625000000000000e-01   1.375000000000000e+00   3.059302702594236e-02   1.344406972974057e+00   7.620691585409330e-02   1.000000002871613e+00   1.250000000000000e-01   9.359837828079075e-01   1.000000004020260e+00   1.000000000000000e-01   9.382266019693773e-01   1.265915159959087e+00
